title,author,googleid,goodreads_id,start date,end date,read status,rating,pages,thumbnail_url
A Prayer for Owen Meany,John Irving,cW8Z_UfqnH4C,4473,2022/03/07,2022/05/01,read,3,637.0,http://books.google.com/books/content?id=cW8Z_UfqnH4C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70HxVuFCG1BtZKm0ura0RMTrYELjEqqfamQhwUWadY98Ugbw6eH_Un8qNwvGdf52qcvbricrH197x9mHsJ4cpJxUHk2fmUpjtk6M_j54J2UkC9Q1zeyiqEBEspM4VcO8LW-4JKj&source=gbs_api
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,TL8CCwAAQBAJ,26156469,2023/02/19,2023/03/30,read,4,274.0,http://books.google.com/books/publisher/content?id=TL8CCwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72Rkrf7WewOluPt0cM9DSPhUxw9dFUteqRrSAq00C6NOyyVw33u94faLrDqaiwyla4kz1sfYIbiqUshaBo0EeZzKNkWcUQ7YM-OHVvMUGQkTU9ia4OOioPEexb2vxFBABCqBpLY&source=gbs_api
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,xmeJCgAAQBAJ,25666050,2021/05/03,,read,4,368.0,http://books.google.com/books/publisher/content?id=xmeJCgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70NALJzgkFZql8rqoQF5SWefUQhjf1IyDztIUIq3Pw6FL3w-WK5Mv-w8oM3PLF9BoHWPLvn51xFViioecIczSd-9GGS33j-7C5HIVkIq5asTwEywEuCzsCqWdvXEd0Jdd3z0Nrv&source=gbs_api
Economics: The User's Guide: A Pelican Introduction,Ha-Joon Chang,93rAAgAAQBAJ,22232098,2022/01/09,,read,4,528.0,http://books.google.com/books/publisher/content?id=93rAAgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71609-ALQVVFtuOurs9C_2NmxKG7DsGH2O9t0fRQyF_tjcP-sdbjACwgLVwh2ZpnmPEMBR7vtEJpI-sxfmeJO_SZwSk_AQyXiZ-WlW0tEyzugujqap2d6_yGlYvGOIrE1ieRPXc&source=gbs_api
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,W7ZEDgAAQBAJ,26195941,2023/02/02,2023/06/10,read,4,691.0,http://books.google.com/books/publisher/content?id=W7ZEDgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73FLc7POxjMR_fFSELGYsRxIhnhG9EsP_Q74hlZ_plafIvVL3DZ4bpr5bDMJs_uYuLgK-hdoXHUVSilMAExG1McA_gN6xnLQW3j13lL-fDll3FYm_3QdRkUsNFNsjqL9XevDYP-&source=gbs_api
"Brain Energy: A Revolutionary Breakthrough in Understanding Mental Health--and Improving Treatment for Anxiety, Depression, OCD, PTSD, and More",Christopher M. Palmer,FoxlEAAAQBAJ,61129785,2023/04/27,2023/05/20,read,4,320.0,http://books.google.com/books/publisher/content?id=FoxlEAAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72Z8ZXY5JSqWisFTz77DtEmHqF8LdHAIdGPqjGpYVRc2_0eivnUnzYp6jl8oONiBW88ahmuraqz5BF1CW3nffOtwHXI4534vJrhYRVEFHwUait6rbMjX6EkbTMtpUvU3sfSwZrQ&source=gbs_api
The Old Man and the Sea,Ernest Hemingway,K1cIZmFe7KoC,2165,2021/08/11,,read,3,96.0,http://books.google.com/books/content?id=K1cIZmFe7KoC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE72ltjdPavHE7NSrMxIwFCgBmAqdz_kQT06Lfum4nnrxbVAgOjya47LF19zDegXdVwaJi9PwIjXpRqhOWgQjokiyu7bYyMVNyImu1NLjjS_F2PoSfasRuz6u3hwxKCUGKVj7FO44&source=gbs_api
Revolutionary Road,Richard Yates,7k7Foo4aaCUC,48328,2021/08/11,,read,5,355.0,http://books.google.com/books/content?id=7k7Foo4aaCUC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE71d4QgDrzUlmgUO9jFvElIfdnoaGiaYmPI2mCX00fCfdR7f9vuKRW4ge96uxEga8lcm_py6EmRuL2K59M4YZg-pKAXguojkqWx1248oe3FG2GEoSqewcX_cDQrgsHe2uQznxOFe&source=gbs_api
Goodbye to All That,Robert Graves,okJ1AgAAQBAJ,55428,2020/06/30,2022/01/04,read,4,281.0,http://books.google.com/books/publisher/content?id=okJ1AgAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70eQ7egZFPmduPFWoBXoSWRtNij47m72qeHeODM1WFxojBCkdrZnXdXJK547fNQKdHqSWmOwc1pLBlBijunqx5mGXozI-1hZug8Dt-augNvXTmzKrTR33XlzkJrQ-9AESBpXdbl&source=gbs_api
"Regeneration (Regeneration, #1)",Pat Barker,YiJOGCzq87QC,5872,2022/01/04,,read,4,256.0,http://books.google.com/books/content?id=YiJOGCzq87QC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70g1jxQGFguiMmQu17wCXkceh8J6vMot2F-iiA6QMjK2F5CDPj1f3j3MsythAhVInyjxZQM_JtKuhuR3YshOMZBgiANPln3NFarMA9aSHVWAWcG1RA3GaD_Xoe4OS5Cj_xaBstc&source=gbs_api
