title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
A Thousand Splendid Suns,Khaled Hosseini,K0MIEAAAQBAJ,128029,2022/01/08,,to-read,0,372.0
The Birth of Tragedy,Friedrich Nietzsche,5ck4AAAAQBAJ,2823,2022/05/04,,to-read,0,121.0
The Odyssey,Homer,3bsmCwAAQBAJ,1381,2022/01/08,,to-read,0,541.0
Feminisms: A Global History (Pelican Books),Lucy Delap,qHvNDwAAQBAJ,50742904,2022/05/10,,to-read,0,416.0
"Cities of the Red Night (The Red Night Trilogy, #1)",William S. Burroughs,uTTFont5YFsC,23944,2022/04/20,,to-read,0,332.0
The Barefoot Investor: The Only Money Guide You'll Ever Need,Scott Pape,HcicDQAAQBAJ,33121747,2023/12/09,,to-read,4,298.0
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,l4tVEAAAQBAJ,54785515,2022/09/07,,to-read,0,273.0
"Night  (The Night Trilogy, #1)",Elie Wiesel,,1617,2023/08/30,,to-read,0,115.0
Fiasco,Stanisław Lem,xTiAAAAAIAAJ,28766,2023/08/31,,to-read,0,322.0
The Wim Hof Method: Activate Your Full Human Potential,Wim Hof,D509EAAAQBAJ,50403522,2023/09/07,,to-read,0,232.0
They Called Us Exceptional: And Other Lies That Raised Us,Prachi   Gupta,8UWoEAAAQBAJ,142601047,2023/09/13,,to-read,0,288.0
Enemy at the Gates: The Battle for Stalingrad,William Craig,Jh1ZCgAAQBAJ,435556,2023/09/16,,to-read,0,457.0
A Short History of Europe: From Pericles to Putin,Simon Jenkins,acq9wwEACAAJ,40772628,2023/09/18,,to-read,0,320.0
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,dI1IEAAAQBAJ,58784475,2023/09/25,,to-read,0,401.0
The Shortest History of China,Linda Jaivin,rskHEAAAQBAJ,56081808,2023/10/02,,to-read,0,263.0
The Shortest History of Europe,John Hirst,h-YJBuacX-EC,6934913,2023/10/02,,to-read,0,160.0
A Little History of Economics (Little Histories),Niall Kishtainy,n808DgAAQBAJ,32622193,2023/10/02,,to-read,0,256.0
A Little History of Philosophy (Little Histories),Nigel Warburton,SGL4QPwDTVsC,11527504,2023/10/02,,to-read,0,252.0
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,mP5WDwAAQBAJ,39899253,2023/08/23,,to-read,0,368.0
A Little History of Religion,Richard Holloway,xo7BDAAAQBAJ,28819132,2023/10/02,,to-read,0,256.0
